,client,site,date,accuracy cameras. m,Number of images,Flying altitude,Ground resolution,Coverage area,Tie points,Projections,Camera Model,Resolution,Pixel Size,Total (cm),Matching time,Alignment time,X error (cm),Y error (cm),Z error (cm),XY error (cm),Total (cm).1,Resolution.1,Point density,Coordinate system,RMS reprojection error,Max reprojection error,Mean key point size,Effective overlap,Accuracy,Optimization time,Depth maps generation time,Dense cloud generation time,control photoscan,accuracy cameras,camera model,resolution,number of photos,"Average camera location error, cm","fact accuracy in photoscans,cm",image overlap,fractional dem-diff,fractional dd colours,volume control,monitoring area,result
548,brookfield-residential-bay-area,blvd,2019-10-05,0.05,228.0,130.0,3.71,0.4092,929059.0,4084361.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,11.0,1484.0,256.0,0.8,1.3,1.9,1.5,2.5,13.1,57.92,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.139162 (0.602118 pix),0.741227 (30.7646 pix),3.67463,4.74293,High,29.0,476.0,178.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,228.0,11.0,2.5,good overlapping,good,white,TRUE,True,good
554,lennar,tracy-hills,2019-10-07,0.05,311.0,135.0,3.78,0.3632,1389282.0,5524674.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,8.5,1358.0,418.0,3.8,7.3,2.3,8.2,8.5,13.5,55.12,WGS 84 (EPSG::4326),0.146657 (0.730434 pix),0.590829 (37.712 pix),4.29238,4.23149,High,11.0,612.0,335.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,311.0,9.0,8.5,good overlapping,good,white,FALSE,True,bad
555,brennan-tucker-homes,the-estates-at-wind-song-hill-addition,2019-10-08,10.0,308.0,127.0,3.88,0.1892,1154623.0,5759428.0,FC220 (4.73 mm),4000 x 3000,1.57 x 1.57 um,150.0,1020.0,430.0,11.7,9.2,2.6,14.9,15.1,14.3,492.0,NAD83 / Texas North Central (ftUS) (EPSG::2276),0.275254 (0.868157 pix),1.25145 (39.0772 pix),3.52825,5.16384,High,103.0,322.0,246.0,good,10.0,FC220 (4.73 mm),4000 x 3000,308.0,150.0,15.1,good overlapping,normal,white,TRUE,True,good
563,independent-construction,los-cerros,2019-10-12,0.05,532.0,145.0,4.13,0.7892,2323534.0,9484356.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,5.4,3465.0,613.0,0.9,1.3,0.9,1.6,1.8,14.9,45.22,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.135672 (0.60136 pix),0.807178 (32.7172 pix),3.73158,4.39976,High,108.0,1129.0,608.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,532.0,5.0,1.8,good overlapping,good,blue,TRUE,True,good
561,brookfield-residential-bay-area,blvd,2019-10-12,0.05,226.0,131.0,3.7,0.4082,941180.0,4047377.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,10.8,1509.0,193.0,0.9,1.3,1.6,1.6,2.2,13.2,57.82,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.139189 (0.62414 pix),0.852782 (34.2611 pix),3.79942,4.64079,High,31.0,467.0,177.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,226.0,11.0,2.2,good overlapping,good,white,TRUE,True,good
559,independent-construction,meadowlands,2019-10-12,0.05,254.0,129.0,3.68,0.3482,1102542.0,4538620.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,11.2,1266.0,265.0,1.0,1.3,1.0,1.6,1.9,13.1,58.32,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.142346 (0.700323 pix),0.775547 (36.9447 pix),4.16915,4.42532,High,58.0,508.0,253.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,254.0,11.0,1.9,good overlapping,good,white,TRUE,True,good
560,independent-construction,placer-vineyards,2019-10-12,0.05,666.0,135.0,3.7,1.032,2331433.0,12395906.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,15.8,10200.0,602.0,1.3,1.5,3.8,2.0,4.2,13.2,57.32,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.155419 (0.560971 pix),0.829196 (33.5204 pix),3.38225,5.5932,High,198.0,1436.0,637.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,666.0,16.0,4.2,good overlapping,normal,red,TRUE,True,acceptable
562,lennar,innovation-village,2019-10-13,0.05,376.0,130.0,3.52,0.4312,1833300.0,6383042.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,6.3,1545.0,403.0,4.9,4.2,1.5,6.5,6.6,12.7,62.32,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.136699 (0.698017 pix),0.716233 (32.1815 pix),4.36494,3.67029,High,28.0,614.0,281.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,376.0,6.0,6.6,good overlapping,good,white,TRUE,True,good
564,lennar,gateway,2019-10-13,0.05,304.0,135.0,3.7,0.3682,979605.0,4493209.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,12.5,1905.0,571.0,3.0,2.8,1.0,4.1,4.3,13.2,57.42,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.152509 (0.649139 pix),2.38027 (34.5336 pix),3.78109,5.18895,High,57.0,650.0,299.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,304.0,13.0,4.3,good overlapping,good,blue,TRUE,True,good
565,fivepoint,mission-village,2019-10-14,10.0,2130.0,196.0,4.74,6.232,7164956.0,32370358.0,E90 (8.29 mm),5472 x 3648,2.4 x 2.4 um2.,348.6,1635.0,2599.0,2.0,2.0,1.1,2.9,3.1,17.5,32.52,NAD83 / California zone 5 (ftUS) (EPSG::2229),0.141463 (1.08903 pix),1.60323 (54.5721 pix),6.99515,4.94974,Medium,1086.0,3900.0,2628.0,good,10.0,E90 (8.29 mm),5472 x 3648,2130.0,349.0,3.1,good overlapping,good,white,TRUE,True,good
566,engeo,treasure-island,2019-10-14,10.0,1210.0,107.0,2.91,0.7112,4283477.0,16267411.0,FC6310 (8.8 mm),4864 x 3648,2.61 x 2.61 um,1964.1,6720.0,1013.0,2.7,2.5,1.4,3.7,3.9,10.9,842.0,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.167572 (0.828731 pix),5.94366 (50.6743 pix),4.28277,4.2308,High,207.0,2251.0,3066.0,normal,10.0,FC6310 (8.8 mm),4864 x 3648,1210.0,1964.0,3.9,good overlapping,normal,red,TRUE,True,acceptable
567,brookfield-residential-la,the-groves,2019-10-14,0.05,837.0,121.0,2.49,0.5022,2699702.0,14711111.0,senseFly Aeria X (18.5 mm),6000 x 4000,3.91 x 3.91 um,32.3,7500.0,653.0,2.3,2.8,4.8,3.6,6.0,9.34,1152.0,NAD83 / California zone 5 (ftUS) (EPSG::2229),0.178167 (0.750017 pix),2.53193 (44.6011 pix),4.03031,5.8941,High,282.0,2651.0,1554.0,good,0.05,senseFly Aeria X (18.5 mm),6000 x 4000,837.0,32.0,6.0,good overlapping,normal,blue,TRUE,True,acceptable
568,independent-construction,faria-ranch,2019-10-15,10.0,666.0,160.0,6.89,0.6122,2077576.0,9848322.0,FC350 (3.61 mm),4000 x 3000,1.56 x 1.56 um,358.6,2614.0,1107.0,5.6,5.9,3.3,8.1,8.8,23.9,17.52,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.197125 (0.875359 pix),2.91532 (47.4396 pix),3.81323,5.55087,High,279.0,1238.0,1250.0,good,10.0,FC350 (3.61 mm),4000 x 3000,666.0,359.0,8.8,good overlapping,normal,red,TRUE,True,good
570,independent-construction,river-islands,2019-10-16,10.0,2381.0,149.0,6.4,4.242,4547884.0,26540980.0,FC350 (3.61 mm),4000 x 3000,1.56 x 1.56 um,718.3,7800.0,5820.0,3.8,3.2,3.6,4.9,6.1,21.9,20.92,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.253926 (1.07004 pix),8.38797 (43.5581 pix),4.14656,7.42204,High,348.0,4140.0,3091.0,good,10.0,FC350 (3.61 mm),4000 x 3000,2381.0,718.0,6.1,problematic overlap,normal,red-blue,TRUE,True,acceptable
569,lmc,sherwin-williams,2019-10-17,0.05,118.0,85.9,2.35,0.06852,590687.0,1976030.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,5.2,581.0,64.0,0.7,1.0,1.7,1.2,2.1,8.46,1402.0,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.126335 (0.684616 pix),0.602632 (26.5965 pix),4.45392,3.57591,High,15.0,191.0,69.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,118.0,5.0,2.1,good overlapping,normal,red,TRUE,False,acceptable
572,brookfield-residential-bay-area,blvd,2019-10-18,0.05,208.0,135.0,3.67,0.4062,964991.0,3765223.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,9.6,1247.0,208.0,1.0,1.1,1.4,1.5,2.0,13.2,57.82,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.13587 (0.678202 pix),0.77446 (33.094 pix),4.26567,4.1395,High,38.0,376.0,144.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,208.0,10.0,2.0,good overlapping,good,white,FALSE,False,good
573,independent-construction,los-cerros,2019-10-18,0.05,518.0,149.0,4.13,0.7842,2466660.0,9095347.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,5.2,3146.0,494.0,1.4,1.5,1.0,2.0,2.2,14.9,452.0,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.132333 (0.622529 pix),0.757706 (32.9894 pix),3.79178,3.97443,High,63.0,945.0,659.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,518.0,5.0,2.2,good overlapping,good,white,FALSE,False,acceptable
